Time_s,Pitch_deg,Altitude_m
0,90,-0
0.0166666666666667,89.9991547132639,0.00200937246480958
0.0333333333333333,89.9921273313343,0.00808679950605685
0.05,89.9792790561336,0.0182335157537093
0.0666666666666667,89.9688078805117,0.0324507305090994
0.0833333333333333,89.9635171700355,0.0507395550754032
0.1,89.9578093962578,0.073101149959192
0.116666666666667,89.9478962956479,0.0995367242240278
0.133333333333333,89.9371477281574,0.13004738766718
0.15,89.9295179390341,0.16463429821131
0.166666666666667,89.9234507166249,0.203298663411497
0.183333333333333,89.9153716441866,0.246041593092542
0.2,89.905507261483,0.292864244827809
0.216666666666667,89.8967563271475,0.343767823748675
0.233333333333333,89.8897556005175,0.39875343737766
0.25,89.8823848097877,0.457822242651619
0.266666666666667,89.8735418932896,0.520975444991641
0.283333333333333,89.864599156714,0.588214150321029
0.3,89.8568170490249,0.659539513134179
0.316666666666667,89.849460816973,0.73495273751298
0.333333333333333,89.8413234554585,0.814454929265354
0.35,89.8326491054118,0.898047242275392
0.366666666666667,89.8244645449289,0.985730878523568
0.383333333333333,89.8168641257004,1.07750694204496
0.4,89.8090589610344,1.17337658597664
0.416666666666667,89.800752781781,1.27334101209798
0.433333333333333,89.7924890684128,1.37740132289702
0.45,89.7846554487698,1.4855586696987
0.466666666666667,89.7769287511072,1.5978142531665
0.483333333333333,89.7689104480558,1.71416917524625
0.5,89.7607457238731,1.83462458640471
0.516666666666667,89.7527918829063,1.95918168563235
0.533333333333333,89.7450334568292,2.08784157355592
0.55,89.7371820838717,2.22060539973885
0.566666666666667,89.7291694138521,2.35747436261653
0.583333333333333,89.7212055769911,2.49844956140206
0.6,89.7134035769538,2.64353214430216
0.616666666666667,89.7056278375952,2.79272330874756
0.633333333333333,89.6977506126115,2.94602415313997
0.65,89.6898440643629,3.10343582474796
0.666666666666667,89.6820299042594,3.26495951963778
0.683333333333333,89.6742846184173,3.43059633514877
0.7,89.6665047834999,3.60034741755036
0.716666666666667,89.6586802662841,3.77421396220302
0.733333333333333,89.6508905207356,3.95219706516748
0.75,89.643165692944,4.13429787162277
0.766666666666667,89.6354508933388,4.32051757598308
0.783333333333333,89.6277068234808,4.51085727345003
0.8,89.6199662277704,4.70531810828183
0.816666666666667,89.6122694652308,4.90390127374961
0.833333333333333,89.6046016378838,5.10660786402192
0.85,89.5969264333221,5.31343902239913
0.866666666666667,89.5892456060198,5.52439594131077
0.883333333333333,89.5815885379973,5.73947971389254
0.9,89.5739619475055,5.95869148236588
0.916666666666667,89.5663442538834,6.18203243839598
0.933333333333333,89.5587240898812,6.40950367406658
0.95,89.551115474227,6.6411063308058
0.966666666666667,89.5435313167084,6.87684159921354
0.983333333333333,89.5359639833346,7.11671057052374
1,89.5284010377864,7.36071438522417
1.01666666666667,89.5208450951777,7.60885423310202
1.03333333333333,89.5133067635794,7.86113120445225
1.05,89.5057868566506,8.11754643878644
1.06666666666667,89.4982771067797,8.37810112517958
1.08333333333333,89.4907745494746,8.64279635290441
1.1,89.4832849310824,8.91163326074607
1.11666666666667,89.4758121701278,9.18461303680886
1.13333333333333,89.4683527303115,9.46173676958946
1.15,89.4609024779531,9.74300559697602
1.16666666666667,89.4534630648,10.0284207063137
1.18333333333333,89.4460382138852,10.3179831852415
1.2,89.438627599935,10.611694170752
1.21666666666667,89.4312281299474,10.9095548495367
1.23333333333333,89.4238391805902,11.2115663082646
1.25,89.4164630197937,11.5177296832717
1.26666666666667,89.4091007370448,11.828046160358
1.28333333333333,89.4017507890224,12.142516825485
1.3,89.3944118502181,12.4611428141491
1.31666666666667,89.3870847586128,12.7839253114546
1.33333333333333,89.379770772147,13.1108654025803
1.35,89.3724695349558,13.4419642221996
1.36666666666667,89.3651799135252,13.7772229548271
1.38333333333333,89.3579018498992,14.1166426847336
1.4,89.3506362040791,14.4602245460069
1.41666666666667,89.3433832265597,14.8079697223429
1.43333333333333,89.336142267592,15.1598792973739
1.45,89.3289129181976,15.5159544044118
1.46666666666667,89.3216955554573,15.8761962265251
1.48333333333333,89.3144905788451,16.2406058466354
1.5,89.3072977650369,16.6091843973028
1.51666666666667,89.3001167032902,16.9819330610729
1.53333333333333,89.2929474288437,17.3588529200268
1.55,89.2857902501677,17.7399451062103
1.56666666666667,89.2786451922763,18.1252108014214
1.58333333333333,89.2715119848435,18.5146510871726
1.6,89.264390503697,18.908267094802
1.61666666666667,89.257280901143,19.3060600055503
1.63333333333333,89.2501832877586,19.7080309002916
1.65,89.2430975412595,20.1141809096824
1.66666666666667,89.2360235100819,20.5245112145112
1.68333333333333,89.2289612200751,20.9390228948808
1.7,89.2219107702536,21.3577170810059
1.71666666666667,89.2148721362957,21.7805949529987
1.73333333333333,89.2078452024327,22.2076575904649
1.75,89.2008299266719,22.6389061229824
1.76666666666667,89.1938263605303,23.0743417301774
1.78333333333333,89.186834521651,23.5139654910901
1.8,89.1798543436846,23.9577785346884
1.81666666666667,89.172885765017,24.4057820402183
1.83333333333333,89.165928791902,24.8579770860207
1.85,89.1589834460979,25.3143648006946
1.86666666666667,89.1520496988156,25.7749463628826
1.88333333333333,89.1451274948713,26.239722850501
1.9,89.1382168133269,26.7086953915847
1.91666666666667,89.1313176628557,27.1818651643635
1.93333333333333,89.1244300334658,27.6592332462617
1.95,89.1175538856841,28.1408007647776
1.96666666666667,89.1106891879908,28.6265688978343
1.98333333333333,89.1038359336787,29.1165387222304
2,89.0969941173039,29.6107113651695
2.01666666666667,89.0901637135237,30.1090880040451
2.03333333333333,89.0833446903476,30.6116697153057
2.05,89.076537030799,31.1184576256649
2.06666666666667,89.0697407264691,31.6294529121781
2.08333333333333,89.0629557599927,32.1446566508766
2.1,89.0561821040449,32.6640699680123
2.11666666666667,89.0494197367424,33.1876940404088
2.13333333333333,89.0426686446836,33.7155299435466
2.15,89.0359288133106,34.2475788034589
2.16666666666667,89.0292002206242,34.7838417965145
2.18333333333333,89.0224828432924,35.3243199979203
2.2,89.0157766644229,35.8690145332946
2.21666666666667,89.0090816691164,36.4179265787445
2.23333333333333,89.0023978386166,36.9710572091357
2.25,88.9957251508722,37.5284075497804
2.26666666666667,88.989063586965,38.0899787766059
2.28333333333333,88.9824131304944,38.6557719640546
2.3,88.9757737641381,39.225788237146
2.31666666666667,88.9691454679912,39.8000287715406
2.33333333333333,88.9625282219403,40.3784946413462
2.35,88.9559220086984,40.9611869713903
2.36666666666667,88.9493268111065,41.5481069370086
2.38333333333333,88.9427426105405,42.1392556121606
2.4,88.936169387232,42.7346341212903
2.41666666666667,88.9296071231895,43.3342436396858
2.43333333333333,88.9230558008579,43.9380852409333
2.45,88.9165154022792,44.5461600493437
2.46666666666667,88.9099859087297,45.1584692400166
2.48333333333333,88.9034673013524,45.7750138862819
2.5,88.8969595626633,46.3957951123375
2.51666666666667,88.8904626748663,47.0208140930369
2.53333333333333,88.8839766197427,47.6500719016412
2.55,88.8775013785705,48.2835696620437
2.56666666666667,88.8710369337253,48.9213085491302
2.58333333333333,88.8645832673342,49.5632896358675
2.6,88.8581403614729,50.2095140460958
2.61666666666667,88.8517081981007,50.8599829545922
2.63333333333333,88.8452867589373,51.5146974341474
2.65,88.8388760265134,52.1736586085691
2.66666666666667,88.8324759829938,52.8368676524679
2.68333333333333,88.826086610549,53.5043256386473
2.7,88.819707891012,54.1760336906902
2.71666666666667,88.8133398069996,54.8519929833211
2.73333333333333,88.8069823406778,55.5322045891296
2.75,88.8006354743456,56.2166696317275
2.76666666666667,88.7942991904029,56.9053892858115
2.78333333333333,88.7879734709231,57.5983646238768
2.8,88.7816582985804,58.2955967695843
2.81666666666667,88.7753536557085,58.9970868975462
2.83333333333333,88.7690595248127,59.7028360803525
2.85,88.7627758880924,60.4128454415214
2.86666666666667,88.7565027283943,61.1271161558615
2.88333333333333,88.7502400280639,61.8456492958316
2.9,88.7439877696657,62.5684459850614
2.91666666666667,88.7377459359318,63.2955073983675
2.93333333333333,88.7315145092198,64.0268346034835
2.95,88.7252934724104,64.7624287107576
2.96666666666667,88.7190828080731,65.502290880397
2.98333333333333,88.7128824990088,66.2464221700298
3,88.7066925277127,66.9948236880146
3.01666666666667,88.7005128772681,67.7474965937992
3.03333333333333,88.694343530253,68.5044419439152
3.05,88.6881844694999,69.2656608458583
3.06666666666667,88.6820356780247,70.0311544581463
3.08333333333333,88.6758971384484,70.8009238363058
3.1,88.6697688338861,71.5749700869616
3.11666666666667,88.6636507471605,72.3532943676154
3.13333333333333,88.6575428613443,73.1358977329506
3.15,88.6514451592027,73.9227812884992
3.16666666666667,88.6453576240618,74.7139461910011
3.18333333333333,88.6392802387489,75.5093934940399
3.2,88.6332129863574,76.3091243022816
3.21666666666667,88.6271558501662,77.1131397715327
3.23333333333333,88.6211088130532,77.9214409543692
3.25,88.6150718582915,78.7340289545831
3.26666666666667,88.6090449691589,79.5509049269619
3.28333333333333,88.6030281288448,80.3720699232356
3.3,88.5970213204817,81.1975250461003
3.31666666666667,88.591024527388,82.027271449579
3.33333333333333,88.5850377329429,82.8613101842989
3.35,88.5790609203086,83.6996423520874
3.36666666666667,88.5730940731452,84.5422691059595
3.38333333333333,88.5671371744446,85.3891914952682
3.4,88.5611902078614,86.2404106206681
3.41666666666667,88.5552531568219,87.0959276339256
3.43333333333333,88.5493260047668,87.9557435835094
3.45,88.5434087351319,88.8198595689705
3.46666666666667,88.5375013315013,89.6882767413038
3.48333333333333,88.5316037774647,90.5609961478678
3.5,88.5257160564118,91.4380188873382
3.51666666666667,88.5198381522705,92.3193461097665
3.53333333333333,88.513970048312,93.2049788614933
3.55,88.5081117284216,94.0949182403112
3.56666666666667,88.5022631762481,94.989165395242
3.58333333333333,88.4964243754835,95.887721371772
3.6,88.490595309831,96.7905872665875
3.61666666666667,88.4847759631214,97.6977642279367
3.63333333333333,88.4789663191735,98.6092533001933
3.65,88.4731663616177,99.5250555791663
3.66666666666667,88.4673760746337,100.445172212158
3.68333333333333,88.4615954417492,101.369604242523
3.7,88.4558244470834,102.298352765185
3.71666666666667,88.4500630745199,103.231418926414
3.73333333333333,88.4443113079978,104.16880376871
3.75,88.4385691314709,105.110508386007
3.76666666666667,88.4328365290098,106.056533923712
3.78333333333333,88.427113484668,107.006881423296
3.8,88.4213999823193,107.96155197762
3.81666666666667,88.4156960063843,108.920546731285
3.83333333333333,88.4100015406375,109.883866724624
3.85,88.4043165694322,110.851513049689
3.86666666666667,88.3986410768895,111.82348685002
3.88333333333333,88.3929750471898,112.799789165069
3.9,88.3873184645288,113.780421085853
3.91666666666667,88.3816713132137,114.765383755021
3.93333333333333,88.3760335775334,115.75467821105
3.95,88.3704052416014,116.748305543921
3.96666666666667,88.3647862900734,117.746266895479
3.98333333333333,88.3591767069662,118.74856330306
4,88.3535764768645,119.755195855838
4.01666666666667,88.3479855841248,120.76616569459
4.03333333333333,88.342404013165,121.781473855775
4.05,88.336831748418,122.801121427527
4.06666666666667,88.3312687744233,123.825109549733
4.08333333333333,88.3257150757031,124.853439257875
4.1,88.3201706366084,125.886111639052
4.11666666666667,88.3146354420246,126.923127832346
4.13333333333333,88.309109476206,127.964488872093
4.15,88.3035927239667,129.010195844588
4.16666666666667,88.2980851698964,130.060249887843
4.18333333333333,88.2925867986463,131.114652035316
4.2,88.2870975948806,132.173403372262
4.21666666666667,88.281617543369,133.236505035802
4.23333333333333,88.2761466288647,134.303958058417
4.25,88.2706848359519,135.375763524325
4.26666666666667,88.2652321497421,136.451922569841
4.28333333333333,88.2597885547237,137.532436226304
4.3,88.2543540359369,138.617305577121
4.31666666666667,88.2489285782012,139.706531757542
4.33333333333333,88.2435121663968,140.800115798024
4.35,88.2381047854169,141.898058780937
4.36666666666667,88.2327064202579,143.000361840638
4.38333333333333,88.2273170559001,144.107026006605
4.4,88.2219366771569,145.218052360175
4.41666666666667,88.2165652693627,146.333442034895
4.43333333333333,88.211202817237,147.453196059103
4.45,88.2058493060435,148.577315513325
4.46666666666667,88.2005047208268,149.705801530042
4.48333333333333,88.1951690466928,150.838655136712
4.5,88.1898422687601,151.975877412822
4.51666666666667,88.1845243722488,153.117469489961
4.53333333333333,88.1792153423632,154.26343239461
4.55,88.1739151641434,155.41376720522
4.56666666666667,88.1686238231423,156.568475052574
4.58333333333333,88.1633413043063,157.727556962009
4.6,88.1580675931191,158.891014011171
4.61666666666667,88.1528026748486,160.058847329773
4.63333333333333,88.1475465348236,161.231057942276
4.65,88.1422991583832,162.407646925284
4.66666666666667,88.1370605309677,163.588615407621
4.68333333333333,88.1318306380027,164.773964412771
4.7,88.1266094647511,165.963695016304
4.71666666666667,88.1213969968915,167.157808346238
4.73333333333333,88.1161932198229,168.356305424919
4.75,88.1109981190545,169.559187327302
4.76666666666667,88.1058116801962,170.766455180748
4.78333333333333,88.1006338885771,171.978110007147
4.8,88.0954647300093,173.194152880652
4.81666666666667,88.0903041900196,174.414584927754
4.83333333333333,88.0851522542982,175.639407169373
4.85,88.0800089082782,176.868620678633
4.86666666666667,88.0748741379222,178.102226581224
4.88333333333333,88.0697479287703,179.340225896931
4.9,88.0646302665496,180.582619698079
4.91666666666667,88.0595211371312,181.829409109299
4.93333333333333,88.0544205260758,183.080595149502
4.95,88.0493284193718,184.336178889983
4.96666666666667,88.044244802743,185.596161454489
4.98333333333333,88.039169662117,186.860543860964
5,88.0341029831651,188.129327179675
